repo	last_push	packaging	canon_ci	template_adopted	in_fleet
appeler/clean-names	2020-11-04	setup.py	no	no	no
appeler/ethnicolr	2026-08-10	pyproject	no	no	yes
appeler/ethnicolr2	2026-08-10	pyproject	no	no	yes
appeler/instate	2026-08-10	pyproject	no	no	yes
appeler/naamkaran	2026-08-10	pyproject	yes	yes	yes
appeler/naampy	2026-08-10	pyproject	yes	yes	yes
appeler/outkast	2026-08-10	pyproject	yes	yes	yes
appeler/parsernaam	2026-08-10	pyproject	yes	yes	yes
appeler/pranaam	2026-08-10	pyproject	no	no	yes
appeler/search-names	2026-08-10	pyproject	no	no	yes
finite-sample/alsgls	2026-08-10	pyproject	no	no	no
finite-sample/bcr	2026-04-05	pyproject	no	no	no
finite-sample/calibre	2026-08-10	pyproject	yes	yes	no
finite-sample/ensemble-proximity	2026-03-22	pyproject	no	no	no
finite-sample/fairlex	2025-12-28	pyproject	no	no	no
finite-sample/fewlab	2026-08-10	pyproject	no	no	no
finite-sample/hbw	2026-08-10	pyproject	no	no	no
finite-sample/incline	2026-08-10	pyproject	no	no	yes
finite-sample/onlinerake	2026-08-10	pyproject	no	no	no
finite-sample/optimal-classification-cutoffs	2026-08-02	pyproject	no	no	no
finite-sample/preclink	2026-04-12	pyproject	no	no	no
finite-sample/pyppann	2026-03-24	pyproject	no	no	no
finite-sample/pyppur	2026-08-03	pyproject	no	no	yes
finite-sample/pysum	2025-04-15	setup.py	no	no	no
finite-sample/rank-preserving-calibration	2026-07-31	pyproject	no	no	no
finite-sample/rmcp	2026-08-10	pyproject	no	no	yes
finite-sample/setjoin	2026-04-05	pyproject	no	no	no
finite-sample/simcheck	2026-08-10	pyproject	yes	yes	no
finite-sample/stable-cart	2026-03-22	pyproject	no	no	no
finite-sample/stagecoachml	2025-12-21	pyproject	no	no	no
finite-sample/streamcal	2026-08-10	pyproject	no	no	no
finite-sample/treegptq	2026-07-20	pyproject	no	no	no
finite-sample/winference	2026-03-10	pyproject	no	no	no
gojiplus/bolingual	2026-03-26	pyproject	no	no	no
gojiplus/devclean	2026-08-10	pyproject	no	no	no
gojiplus/get-weather-data	2026-08-10	pyproject	yes	yes	yes
gojiplus/gringotts	2026-08-10	pyproject	yes	yes	yes
gojiplus/layoutlens	2026-08-09	pyproject	no	no	no
gojiplus/lost-years	2025-12-28	pyproject	no	no	no
gojiplus/paper_voice	2025-09-13	pyproject	no	no	no
gojiplus/preen	2026-08-11	pyproject	yes	yes	yes
gojiplus/py-canon	2026-08-11	pyproject	yes	no	yes
gojiplus/reporoulette	2026-08-10	pyproject	no	no	yes
gojiplus/rowvoi	2026-08-10	pyproject	yes	yes	no
gojiplus/search-and-replace	2026-04-16	pyproject	no	no	no
gojiplus/sharepack	2026-08-10	pyproject	yes	yes	yes
gojiplus/slosizer	2026-08-10	pyproject	yes	yes	yes
gojiplus/sortition	2026-08-10	pyproject	yes	yes	no
gojiplus/statqa	2026-08-10	pyproject	yes	yes	no
gojiplus/tabula-rasa	2025-11-23	pyproject	no	no	no
gojiplus/uijudge-bench	2026-08-05	pyproject	no	no	no
gojiplus/understudy	2026-08-10	pyproject	no	no	yes
gojiplus/wikifuse	2026-07-25	pyproject	no	no	no
gojiplus/zerottmm	2025-09-11	pyproject	no	no	no
in-rolls/assam_elex_rolls_2026	2026-08-10	pyproject	no	no	no
in-rolls/eroll_transliteration	2026-06-17	pyproject	no	no	no
in-rolls/indicate	2026-08-10	pyproject	yes	no	yes
in-rolls/jaali	2026-06-23	pyproject	no	no	no
in-rolls/mplads	2026-05-29	pyproject	no	no	no
in-rolls/pai	2026-08-10	pyproject	no	no	no
in-rolls/savitr	2026-08-03	pyproject	no	no	yes
notnews/archive_news_cc	2026-07-20	pyproject	no	no	no
notnews/bench_marks	2026-04-17	pyproject	no	no	no
notnews/covered	2026-08-10	pyproject	yes	yes	yes
notnews/notnews	2026-08-10	pyproject	no	no	yes
themains/know-your-ip	2026-08-10	pyproject	yes	yes	yes
themains/piedomains	2026-08-10	pyproject	yes	yes	yes
